,Billboard Hit Number,Songs,Artist,Genre,Gender,Lyrics,Year
268,69,"""If I Could Go!""",Angie Martinez featuring Lil' Mo and Sacario,Reggae,Female,"
Yeah
Oh yeah yeah
Yeah
Uh, woo! come on, uh
If I can go, with you
Yo, yo, uh
If I can choose a place to go it gotta be far away
From here we could crossover like Hardaway
Somewhere outside the states, where tomorrow's like today
And I'm out in a space where nobody else can stay
And, if I can go, with you
Then I'll go get the ticket right now if that's cool
Have you ever been close to feelin like leavin the coast too
Feelin like leavin with somebody who
Hold you the right way while watchin the night fade
Make you feel like you right back in the ninth grade
When you know what he likes and what he might say
And you try to be calm and answer in nice ways
And, if I can go, with you
Way out the states no 2-ways and no page
No cells and no trace, and you just a phone call away
So all I got to say is
If I can go, contigo, I'll pack my things, soon as you say
Baby, vamos, we'll fly away, like there is no, no tomorrow
If can go, contigo, I'll tell my friends, nothing at all
I'll get my things, soon as you say, baby, vamos, we'll fly away
I hear you, yeah, talk to me
And, if I can go, with you
Oh boy we 'bout to make a lot of people annoyed
In Croix, you better know I know how to sneak with them toys
Employed, with the block since around '94, boy
And, if I can flow, with you
Holdin' dat dough after the studio, I roll with you
I send Dutch and three other goons to go get you
Sacario, the name awaits the whole issue
Grown men keep on cryin', get mo' tissue
The way me and this girl be rhymin; it's so official
Them I'm takin a trip too with no pistols (Come on)
'Cause everything peace only sand no streets
Little Miami Heat, that's the plan we'll see
Two cups, one in Senado one in Sand Beach
And, I'll think I'll go, with you
So tell the station you need a week - back to you
(Tell me, oh)
If I can go, contigo, I'll pack my things, soon as you say
Baby, vamos, we'll fly away, like there is no, no tomorrow
If I can go, contigo, I'll tell my friends, nothing at all
I'll get my things, soon as you say, baby, vamos, we'll fly away
You might also like
You can fly away, no one has to know
Babe take me with you, cause if I can go
Soon as you say the word, we'll be on our way
To a foreign place, you got to tell me
Yo, uh, so now that we got a plan are you comin?
We could plan a week
The only question now is LaGuardia or Kennedy?
And a seat, know why? The window cause I like to see
And seein as to how I'm so fly me and the clouds can speak
And, since we 'bout to go, in a few
Go 'head
Oh, I just wanted to tell Trace thank you
That week off I'm grateful what was you tryin to say boo?
Nothin just grab my chain off the table and 2 way too
Ok, that little place it's a great move
But ain't no problems, unless the water don't stay blue
And the shop's there?
If they don't got em, they don't make em (True!)
No concrete just sand, throw away your shoes
Now, that we are on, our way
And our bags is packed and the car service is not late
Everything's okay, so I guess I catch you on the next track
Now I don't gotta ask
If I can go, contigo, I'll pack my things, soon as you say
Baby vamos, we'll fly away, like there is no, no tomorrow
If I can go, contigo, I'll tell my friends, nothing at all
I'll get my things, soon as you say, baby vamos, we'll fly away
If I can go, contigo, I'll pack my things, soon as you say
Baby vamos, we'll fly away, like there is no, no tomorrow
And if I can go, contigo, I'll tell my friends, nothing at all
Nothing at all, I'll tell my friends, nothing at all2
",2002
269,70,"""The Whole World""",Outkast featuring Killer Mike,Hip hop,Group,"
""Okay, here we go...""
Yeah, I'm afraid, like I'm scared as a dog
But I've got a new song, and I want y'all to sing along
Sing along
See this is the way that we walk on a sunny day
When it's rainin' inside and you're all alone
All alone, yeah!
'Cause the whole world loves it when you don't get down
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you make that sound
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you're in the news
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you sing the blues
(Bah bah-da, bah bah bah-da da!)
Take a little trip, hater, pack up your mind
Look forward, not behind, then you'll see what you find
I caught a sucker dyin' 'cause he thought he could rhyme
Now if his momma is a quarter, daughter must be a dime
I gotta meet her, don't take no shorts, I don't use abbrevi-
-ation, I don't even play the radio neither
Only if I need to know the sports or the weather
I'm a cool type of brother, but yep, your head I'll sever from the neck
See ain't nothing changed, hit the stage
Set a date, sucker, in battle we can engage
I'll slice you, wife you, marry you, divorce you
Throw the Porsche at you, is what I'm forced to do
With my back against the wall; crack his back, y'all
Naw, it ain't went nowhere like havin' hair with stylin' gel in it
Throw a curl in it
Dread that nappy shit up, throw a shell in it
Whatever floats your boat, or finds your lost remote
And this for them niggas workin' at the airport who got laid off
I take my shades off
If you look straight in my eyes, you still might see a disguise
Because the whole-whole world-world...
'Cause the whole world loves it when you don't get down
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you make that sound
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you're in the news
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you sing the blues
(Bah bah-da, bah bah bah-da da!)
You might also like
Player, I grind, my focus is crime
Raw with the rhyme, I'm slick with the slime
My words are diamonds dug out a mine
Spit 'em, polish, look how they shine
Glitter, glisten, gloss, floss
I catch a beat running like Randy Moss
Ride that bitch off like a brand new horse
I'm rollin' my stones, gather no moss
Mommy, I'm coming, I hope you get off
Or rock your own boat like Aaliyah, then talk
Back, back, forth, forth
Get that sailor on course, course
Make that track a corpse, corpse
Rap, roll, utterly rocked
With my mouth to the mic and my hand on my cock
Cadillac OutKast, just won't stop
'Cause the whole world loves it when you don't get down
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you make that sound
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you're in the news
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you sing the blues
(Bah bah-da, bah bah bah-da da!)
Turn on the TV and everything is lookin' dismal
Went in the bathroom medicine cabinet, Pepto-Bismol
Need it for my stomach 'cause my tummy kinda aches
Like a junkie on withdrawal, fresh up off the plate
Wait, back to the enemy of the state
Is the Republicans or Democratic candidate?
Debate, now even the black box hold the fate
Clueless like Shaggy and Scooby befo' commercial break
Hate, extreme prejudice, let's dismiss this
If you want to, you can dub it to your hit list
I know you goin' to, we in this to replenish yo' musical wish list
When it come to this music, we stay relentless
Pursuing all that's pursuable
Doing, God-willing, all things that are doable
The only liable limitation is yourself, Dre
Set it on the right and I'll set it on the left, 'cause
'Cause the whole world loves it when you don't get down
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you make that sound
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you're in the news
(Bah bah-da, bah bah bah-da da!)
And the whole world loves it when you sing the blues
(Bah bah-da, bah bah bah-da da!)12
",2002
270,71,"""Underneath It All""",No Doubt featuring Lady Saw,Reggae ,Group,"
There's times when I want something more
Someone more like me
There's times when this dress rehearsal
Seems incomplete
But you see the colors in me
Like no one else
And behind your dark glasses
You're something else
You're really lovely
Underneath it all
You want to love me
Underneath it all
I'm really lucky
Underneath it all
You're really lovely
You know some real bad tricks
And you need some discipline
But lately you've been trying real hard
And giving me your best
And you give me the most gorgeous sleep
That I've ever had
And when it's really bad
I guess it's not that bad
You're really lovely
Underneath it all
You want to love me
Underneath it all
I'm really lucky
Underneath it all
You're really lovely
So many moons that we have seen
Stumbling back next to me
I've seen right through and underneath
And you make me better
I've seen right through and underneath
And you make me better, better, better
You might also like
For real!
'Cause underneat' it all, you are my real Prince Charmin'
Like the heat from the fire, you were always burnin'
Anytime you’re around, my body keeps callin'
For your touch, your kisses and your sweet romancin'
There’s another side of you, weh this a woman yah adore
Aside from your temper, everything else secure
You’re good for me, baby, for that, I’m sure
'Cause over and over again, me want more
You've used up all your coupons
And all you got left is me
And somehow I'm full of forgiveness
I guess it's meant to be…
You're really lovely
Underneath it all
You want to love me
Underneath it all
I'm really lucky
Underneath it all
You're really lovely15
",2002
271,72,"""Caramel""",City High featuring Eve,R&B,Group,"
Fo' real and that's no question
No frontin' and no guessin'
(City High)
Caramel Complexion
Body-Body-Body-Body like heaven
Uh-huh, come on
You can say I'm plain Jane but it's not the same
I ain't into big names but I like nice things
I watch boxin' matches and the football games
I wouldn't mind being an actress but I love to sing
I like goin' out, takin' walks and stuff
I don't run with many girls 'cause they talk too much
I enjoy quiet nights at home and curl up next to ya
Though I'm ain't a virgin that don't mean I'm havin' sex with ya
Anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)

'Cause anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)
Baby, look me in the eyes and tell me yeah
I'm the kind of girl you like, I'm feelin' you
'Cause sweetie you're my kind of guy, that's what it is
Think about it you just might wanna run with this
All night long and if you want me, we can keep this going
But let me tell you I'm the type that's strong
And I don't trust a lot of men, I'm independent
I ain't like some other women
You might also like
Anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)

'Cause anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)
Ven aqui, Ven aqui Mama
Baby girl don't you know you're a star
We could take a little trip to mi casa
Spend the night popping cris in the hot tub
See I ain't never seen no girl like you
Every sexy little thing you do
5'5' brown eyes with your thick thighs
Every time I see your smile its got me hypnotized
I keep 'em mesmerized, listen to me closely
E-V-E is how a thorough bred supposed to be
Hate the thirsty type, can't even get close to me
That's why I got my own stack, Daddy, how it's supposed to be
I ain't about the game, playin' and gift chasin'
All in frontin' Daddy please, we both big facin'
All the things I want, I got, forget me not
Just from my stance, why you starin' at me? Got you hot
Not too many bitches like her, one of a kind
I mean even the bitches like her, she just a dime
Not impressed by your Cris' poppin' 'cause if you would
I might end, of the night we gone be lip locking
But only if I choose to, I don't fall in love easily
Give you the blues Boo, I have you sittin'
'Round misty-eyed Caramel, get 'em all the time
Hot shit from City High
Anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)

'Cause anywhere I go I'm spotted
(Fo' real and that's no question)
And anything I want I got it
(No frontin' and no guessin')
5' 5"" with brown eyes
(Caramel complexion)
Smile like the sunrise
(Body like heaven)2
",2002
272,73,"""Luv U Better""",LL Cool J,"Hip hop, R&B",Male,"
This is for my number one
This is for my number one
This is for my number one
True baby for I adore
This is hard to say
I wanna make sure I go about this in the right way
'Cause lately I been busy a lot
And I know you don’t feel appreciated and what not
I used to tell you that you’re hair looked fly
Kiss you slow and stare in your eyes
Now I talk real foul and slick
Every other sentence is, ""You make me sick""
Back in the days I was your number one pick
Now your heart's half-broken and that’s hard to fix
I had to dig deep inside myself
'Cause I can't see you bouncin' with somebody else
It's a long journey back to the place we was
When I was too embarrassed to admit I was in love
And you was my good girl that wouldn't give it up
I can't let us self-destruct
Baby smile today
'Cause I been imaginin' more ways
I’m gon' luv U better
When your friends’ll see you too
Just when you think there's nothin' else I can do
I’m gon' luv U better
When I think about the things we did
And I think about you having my kids
And I think about us sharing a crib
Losin’ all that, God forbid
You deserve flowers and candy, the simple things
In addition to the SL’s, baguettes and rings
Instead I walk around like I’m a king
And having you ain’t nothing but a thing
I even stopped tellin’ you the lovin’ was good
Too busy frontin’ in the hood
Baby girl, hold me tight don’t ever let go
I’ma do it real gentle baby, nice and slow
One more chance baby and don’t say no
'Cause I got another side to show
Some say love is painful it helps you grow
Well it’s time for the pain to go, ya’know
You might also like
Baby smile today
Cuz I been imaginin’ more ways
I’m gon’ luv U better
When your friends’ll see you too
Just when you think there’s nothin’ else I can do
I’m gon’ luv U better
Do you think I meant to hurt you? No
Do you think I meant to hurt you? No
So let’s laugh together, cry together
God willin’ we gon’ die together
Do you think I meant to hurt you? No
Do you think I meant to hurt you? No
So let’s laugh together, cry together
God willin’ we gon’ die together
It’s a brand new me, a brand new you
A brand new day, sky so blue
Hold my hand while I walk with you
Sit on my lap, lemme talk to you
No more games callin’ you foul names
Actin’ like females is all the same
I’m gon’ love you better, my mentality changed
From this day forward I’ll never be the same
I’ma rub your lower back, share my dreams
I love you, lemme show you what I mean
Give you the deepest love a girl ever seen
Watch you sleep, so peaceful and serene
A toast to the queen, you’re back in my life
But this time I’ma do it right
Trust me, from the bottom of my heart
Nothin’s gonna tear us apart, promise
Baby smile today
Cuz I been imaginin’ more ways
I’m gon’ luv U better
When your friends’ll see you too
Just when you think there’s nothin’ else I can do
I’m gon’ luv U better
Baby smile today
Cuz I been imaginin’ more ways
I’m gon’ luv U better
When your friends’ll see you too
Just when you think there’s nothin’ else I can do
I’m gon’ luv U better
Do you think I meant to hurt you? No
Do you think I meant to hurt you? No
So let’s laugh together, cry together
God willin’ we gon’ die together
Do you think I meant to hurt you? No
Do you think I meant to hurt you? No
So let’s laugh together, cry together
God willin’ we gon’ die together
This is for my number one
This is for my number one
True baby for I adore4
",2002
273,74,"""Gimme the Light""",Sean Paul,Dancehall,Male,"
Jus gimme the light, yeah yeah
Jus gimme the light, yo yo
Jus gimme the light, don't say it
Jus gimme the light, Sean Paul
Jus gimme the light and pass the dro
Buss anotha bokkle a Moët
Gyaldem in ah me sight and I gots to know
Which one is gonna catch my flow
Cause I'm inna the vibes
And I got my dough
Buss anotha bokkle a Moët
Gyaldem lookin' hype
And I gots to know
Could I be your protector? Your buff in every sector
Everyman around dem wanna turn your inspector
But you no let them sweat ya, no grill you with no lecture
But dem power drill or dem fuel injector
Dem a infector, disease collector
Nuff of dem a gwan like dem wan come wreck ya
Done out the part where you got inna your center
But you know you na let them guy affect ya, yo yo gyal
Jus gimme the light and pass the dro
Buss anotha bokkle a Moët
Gyaldem in ah me sight and I gots to know
Which one is gonna catch my flow
Cause I'm inna the vibes
And I got my dough
Buss anotha bokkle a Moët
Gyaldem lookin' hype
And I gots to know
One, two, three, four, five of them
Situation getting really live again
Girl dem wanna fi hang out with
The players and the riders dem
Beside of them and dem say
Dem tired of the liars
Dem friars and connivers
Will never get inside of dem
Dem clyder dem
Especially the money hider dem
Watchie watchie girl bout dem
A try fi make bride of dem
Denied again
Some a dem a move like a Spiderman
Gyal dem say dem nah
Open wide again
See Sean Paul LiveGet tickets as low as $53You might also like
Jus gimme the light and pass the dro
Buss anotha bokkle a Moët
Gyaldem in ah me sight and I gots to know
Which one is gonna catch my flow
Cause I'm inna the vibes
And I got my dough
Buss anotha bokkle a Moët
Gyaldem lookin' hype
And I gots to know
Could I be your protector? Your buff in every sector
Everyman around dem wanna turn your inspector
But you no let them sweat ya, no grill you with no lecture
But dem power drill or dem fuel injector
Dem a infector, disease collector
Nuff of dem a gwan like dem wan come wreck ya
Done out the part where you got inna your center
But you know you nah let them guy affect ya, yo
Jus gimme the light and pass the dro
Buss anotha bokkle a Moët
Gyaldem inna mi sight and I gots to know
Which one is gonna catch my flow
Cause I'm inna the vibes
And I got my dough
Buss anotha bokkle a Moët
Gyaldem lookin' hype
And I gots to know
One, two, three, four, five of them
Situation getting really live again
Girl dem wanna fi hang out with
The players and the riders dem
Beside of them and dem say
Dem tired of the liars
Dem friars and connivers
Will never get inside of dem
Dem clyder dem
Especially the money hider dem
Watchie watchie girl bout dem
A try fi make bride of dem
Denied again
Some a dem a move like a Spiderman
Gyaldem say dem nah
Open wide again
Jus gimme the light and pass the dro
Buss anotha bokkle a Moët
Gyaldem inna mi sight and I gots to know
Which one is gonna catch my flow
Cause I'm inna the vibes
And I got my dough
Buss anotha bokkle a Moët
Gyaldem lookin' hype
And I gots to know15
",2002
274,75,"""Gone""",'N Sync,PopsoulR&B,Group,"
There's a thousand words that I could say
To make you come home, yeah
Seems so long ago you walked away
Left me alone
And I remember what you said to me
You were acting so strange
And maybe I was too blind to see
That you needed a change
Was it something I said
To make you turn away?
To make you walk out and leave me cold?
If I could just find a way
To make it so that you were right here
Right now
I've been sitting here
Can't get you off my mind
(Can't get you off my mind)
I've tried my best to be a man and be strong
I drove myself insane
Wishing I could touch your face (touch your face)
But the truth remains, you're
Gone
You're gone
Baby, you're gone
Girl, you're gone
Baby girl, you're gone
You're gone
You're
Now I don't wanna make excuses, baby
Won't change the fact that you're gone
No, no
But if there's something that I could do
Won't you please let me know?
The time is passing so slowly now
Guess that's my life without you
(Guess that's my life without you)
And maybe I could change my every day (you)
But baby, I don't want to
You might also like
So I'll just hang around
And find some things to do
To take my mind off missing you
(Take my mind off missing you)
And I know in my heart
You can't say that you don't love me too
Please say you do
Yeah hey, hey, hey yeah
I've been sitting here (sitting here)
Can't get you off my mind
(Can't get you off my mind)
I've tried my best to be a man and be strong
(My best to be a man and be strong)
I drove myself insane
Wishing I could touch your face
(Wishing I could touch your face)
But the truth remains, you're
(Truth remains, you're)
Gone
You're gone
You're gone
You're gone
You're gone
You're gone
Oh oh...
What will I do
If I can't be with you?
Tell me where will I turn to?
Baby, who will I be?
Now that we are apart
Am I still in your heart?
Baby, why don't you see
That I need you here with me?
Oh... oh
I've been sitting here (sitting here)
Can't get you off my mind
(Can't get you off my mind)
I've tried my best to be a man and be strong
(My best to be a man)
I drove myself insane
Wishing I could touch your face
(Goin' crazy, baby, oh oh)
But the truth remains
(The truth remains you're gone)
I've been sitting here (sitting here)
Can't get you off my mind
(Can't get you off my mind)
I've tried my best to be a man and be strong
(My best to be a man)
I drove myself insane (oh oh oh)
Wishing I could touch your face
(Oh oh, oh oh oh)
But the truth remains, you're
(Baby, the truth is you're)
Gone
You're gone
You're... gone
You're gone
Baby girl, you're gone
You're gone
But the truth remains, you're7
",2002
275,76,"""Livin' It Up""",Ja Rule featuring Case,"Hip hop, dirty rap, comedy rap",Male,"
Yea, yea, yea
Where all my...
Uhh, yea.. c'mon, c'mon uhh
To all my ladies that be givin' it up, uh
To everybody that be livin' it up, we say...
To all my ladies that be givin' it up, ah
C'mon, baby
This ain't your typical, everyday, one night thing
It's a physical, I'ma love you tonight thing
Love , callin' your name, put your phone in the Range
And roll over, i just really wanted to hold ya
Time to know ya - that's a good chick
Before it's all over, I'ma meat this chick
Probably treat this chick, mo' betta
Cause if you ain't - know, thugs and ladies go together
Poppin' my collar, patnah - who in the spot?
Baby, Rule in the spot; and the mug and the watch ugly
Half the hoes hate me, half them love me
The ones that hate me only hate me cause they don't trust me
And they say I'm lucky; you think I got time
To blow all this dough and do all these shows?
Or flight in the llama chargin white Rolls
Uh-oh, another episode
What, do I do?
To everybody that be livin it up, we say
What, I do
And all my ladies that be givin it up, uhh
What, you do
To everybody that be livin' it up, we say
What, do I do?
And all my ladies that be givin it up, uhh
My love's for you
C'mon
Ladies, just wanna hold a name Miss Atkins
That's why they show love  with mo' passion than average
And I ain't mad at' never leave you alone
Cause the song when I'm home, like the song when I'm gone
We both grown, both got minds of our own
Plus we hit it off like first sight in ""Love Jones""
Been in, many zones, baby love it all hate it all
From, prissy women to women who go to shadows
But you know, the Rule be livin' it up
And got all y'all, givin' it up
I like a, little ooh baby, how cute are you?
With a body that rides on sexual
I got a stick, I'll ride right next to you
Do a doughnut, and cut, then I'll open it up
On the freeway, hand on the wheel, foot on the clutch
Rule baby, not givin' it up
See Ja Rule LiveGet tickets as low as $160You might also like
What, do I do?
To everybody that be livin it up, we say
What, I do
And all my ladies that be givin it up, uhh
What, you do
To everybody that be livin' it up, we say
What, do I do?
And all my ladies that be givin it up, uhh
My love's for you
C'mon
C'mon, we get right
C'mon, we get live
C'mon, we get right
Live yo' life
Love you so sexy, I just want you next to me
Your whole vibe, like you high on ecstasy
Cause it ain't nuttin' but an 'Inc' thang, bay-bay
I know the pussy wet like crazy
I wanna, feel your passion, come when you askin'
Laugh when you cryin', cry when you laughin
But ain't nothing happenin', a girl got a little uptight
Turned off the light and then started crashin'
The radio blastin' ""Between Me and You""
But, you ain't on the low with that freaky thing you do
Girl I thought you knew (what I do), know I know
(what you do)
Cause it ain't a good night if you don't ain't right
Like, Teddy P let's ""Turn Off the Lights""
And, grind it out, takin' no times out
'til the sun come out, let me find out
What, do I do?
To everybody that be livin it up, we say
What, I do
And all my ladies that be givin it up, uhh
What, you do
To everybody that be livin' it up, we say
What, do I do?
And all my ladies that be givin it up, uhh
My love's for you
C'mon

To everybody that be livin it up, we say
What, I do
And all my ladies that be givin it up, uhh
What, you do
To everybody that be livin it up, we say
What, do I do?
And all my ladies that be givin it up, uhh
My love's for you
C'mon
C'mon, we get right
C'mon, we get live
C'mon, we get right
It's my time
Rule, baby
Yeah
Do a roll
What do I do
Low key
We out, we out6
",2002
276,77,"""Rollout (My Business)""",Ludacris,"Hip hop, dirty rap, comedy rap",Male,"
Rollout, rollout
Rollout, rollout
Rollout, rollout
Rollout, rollout
(Rollout) I got my twin Glock forties (Rollout) cocked back
(Rollout) Me and my homies (Rollout), so drop that
(Rollout) We rollin' on twenties, (Rollout) with the top back
(Rollout) So much money (Rollout) you can't stop that
(Rollout) Twin Glock forties (Rollout) cocked back
(Rollout) Me and my homies (Rollout), so drop that
(Rollout) We rollin' on twenties, (Rollout) with the top back
(Rollout) So much money (Rollout) you can't stop that
Now, where'd you get that platinum chain with them diamonds in it?
Where'd you get that matchin' Benz with them windows tinted?
Who them girls you be with when you be ridin' through?
Man, I ain't got nothin' to prove, I paid my dues, breakin' the rules, I shake fools while I'm takin' a cruise
Tell me who's your weed man, and how do you smoke so good?
You's a superstar, boy, why you still up in the hood?
What in the world is in that bag? What you got in that bag?
A couple of cans of whoop ass, you did a good-ass job of just eyein' me, spyin' me
(Rollout) I got my twin Glock forties (Rollout) cocked back
(Rollout) Me and my homies (Rollout), so drop that
(Rollout) We rollin' on twenties, (Rollout) with the top back
(Rollout) So much money (Rollout) you can't stop that
(Rollout) Twin Glock forties (Rollout) cocked back
(Rollout) Me and my homies (Rollout), so drop that
(Rollout) We rollin' on twenties, (Rollout) with the top back
(Rollout) So much money (Rollout) you can't stop that
Man, that car don't come out until next year, where in the fuck did you get it?
That's eighty thousand bucks gone, where in the fuck did you spend it?
You must have eyes on your back 'cause you got money to the ceilin'
And the bigger the cap, the bigger the peelin', the better I'm feelin', the more that I'm chillin', winnin', drillin' and killin' the feelin'
Now, who's that bucked naked cook fixin' three course meals?
Gettin' goosebumps when her body taps the six inch heels
What in the world is in that room, what you got in that room?
A couple of gats, a couple of knives, a couple of raps, a couple of wives, now it's time to choose
See Ludacris LiveGet tickets as low as $60You might also like
(Rollout) I got my twin Glock forties (Rollout) cocked back
(Rollout) Me and my homies (Rollout), so drop that
(Rollout) We rollin' on twenties, (Rollout) with the top back
(Rollout) So much money (Rollout) you can't stop that
(Rollout) Twin Glock forties (Rollout) cocked back
(Rollout) Me and my homies (Rollout), so drop that
(Rollout) We rollin' on twenties, (Rollout) with the top back
(Rollout) So much money (Rollout) you can't stop that
Are you custom made, custom paid, or you just custom fitted?
PlayStation 2 up in the ride, is that Lorenzo-kitted?
Is that your wife, your girlfriend or just your main bitch?
You take a pick, while I'm rubbin' the hips, touchin' lips to the top of the dick and then, ""Whew""
Now, tell me who's your housekeeper, and what you keep in your house?
What about diamonds and gold, is that what you keep in your mouth?
What in the world is in that case, what you got in that case?
Get up out my face, you couldn't relate, wait to take place at a similar pace, so shake, shake it
(Rollout) I got my twin Glock forties (Rollout) cocked back
(Rollout) Me and my homies (Rollout), so drop that
(Rollout) We rollin' on twenties, (Rollout) with the top back
(Rollout) So much money (Rollout) you can't stop that
(Rollout) Twin Glock forties (Rollout) cocked back
(Rollout) Me and my homies (Rollout), so drop that
(Rollout) We rollin' on twenties, (Rollout) with the top back
(Rollout) So much money (Rollout) you can't stop that
Get out my business, my business
Stay the fuck up out my business, ah
'Cause these niggas all up in my shit
And it's my business, my business
Stay the fuck up out my business
'Cause it's mine, oh, mine
My business, my business
Stay the fuck up out my business
'Cause these niggas all up in my shit
And it's my business, my business
Stay the fuck up out my business
'Cause it's mine, oh, mine
Ah, ah, Timbaland, Ludacris
Disturbing Tha Peace (Woo)
Yeah, uh, c'mon, what's up? What's up? Come here (Ugh)
Come here, go to sleep (Uh)
Go to sleep right now (Ahh), right now (Ugh)
Go to sleep, go to sleep
Go to sleep (Ah-uhh)
Go to sleep (Ahh)11
",2002
277,78,"""Here Is Gone""",Goo Goo Dolls,Rock,Group,"
You and i got something
But it's all and then it's nothing to me, yeah
And i got my defenses
When it comes through your intentions for me, yeah
And we wake up in the breakdown
With the things we never thought we could be, yeah
I'm not the one who broke you
I'm not the one you should fear
We got to move you darling
I thought i lost you somewhere
But you were never really ever there at all
And i want to get free
Talk to me
I can feel you falling
And i wanted to be
All you need
Somehow here is gone
I am no solution
To the sound of this pollution in me, yeah
And i was not the answer
So forget you ever thought it was me, yeah
I'm not the one who broke you
I'm not the one you should fear
We got to move you darling
I thought i lost you somewhere
But you were never really ever there at all
And i want to get free
Talk to me
I can feel you falling
And i wanted to be
All you need
Somehow here is gone
See The Goo Goo Dolls LiveGet tickets as low as $20You might also like
And i don't need the fallout
Of all the past that's in between us
And i'm not holding on
And all your lies weren't enough to keep me here
And i want to get free
Talk to me
I can feel you falling
And i wanted to be
All you need
Somehow here is gone
And i want to get free
Talk to me
I can feel you falling
I know it's out there
I know it's out there
And i can feel you falling
I know it's out there
I know it's out there
Somehow here is gone, yeah
I know it's out there
I know it's out there
Somehow here is gone, yeah1
",2002
278,79,"""No More Drama""",Mary J. Blige,R&B,Female,"
So tired, tired of this drama
You go your way, I go my way
No more, no more
I'd rather be free
So tired, tired, tired
Broken heart again
Another lesson learn
Better know your friends
Or else you will get burned
Gotta count on me
'Cause I can guarantee that I'll be fine
(No more pain)
No more pain
(No more pain)
No more pain
(No drama)
No more drama in my life
(No more in my life) No one's gonna make me hurt again
Why'd I play the fool?
Go through ups and downs
Knowing all the time
You wouldn't be around
Or maybe I like the stress
'Cause I was young and restless
But that was long ago
I don't wanna cry no more
(No more pain) No more pain, no more pain
(No more) No more game
No more game messin' with my mind (No drama)
No more drama in my life (No more in my life)
No one's gonna make me hurt again
No more (No more tears)
No more tears, I'm tired of cryin' every night
(No more fears) No more fears, I really don't wanna cry
(No drama) No more drama in my life (No more in my life)
I don't ever wanna hurt again
Wanna speak my mind, wanna speak my mind
Go 'head
See Mary J. Blige LiveGet tickets as low as $92You might also like
Ooh, it feels so good
When you let go
Of all the drama in your life
Now you're free from all the pain (Free from all the pain)
Free from all the game (Free from all the game)
Free from all the stress (Free from all the stress)
So find your happiness
I don't know
Only God knows where the story ends for me
But I know where the story begins
It's up to us to choose
Whether we win or lose
And I choose to win
(No more pain) No more pain, no more pain, tired of hurting
(No more pain) Tired of your playin' games with my mind
(No drama) No more drama in my life (No more in my life)
No more, no more, no more, no more, no more, no more
(No more tears) No more tears, no more cryin' every night
(No more fears) No more waking me up in the morning
With your disturbing phone calls (No drama)
Leave me alone, go ahead (No more in my life)
Hey, yeah, oh, whoa (No more pain)
No more time (No more games)
No more games, I'm tired, I'm so tired (No drama)
No more, no more (No more in my life)
No more, no more
No more, no more, no more
No more drama
I'm tired of all this drama (No more drama)
Go 'head, go 'head
You demons get out of my face (No more drama)
Go get out my life (No more drama)
I am 'bout to lose my mind
Lord, help me, help me say
No more drama (No more drama)
No more drama
No more drama (No more drama)
No more drama
Oh, help me sing, I need a peace of mind
No more drama (Peace of mind, peace of mind)
Yeah, I need a good night sleep (No more drama)
I need to know that you won't creep
Oh no, oh no
No more, no more, no more drama
No more drama in my, in my life
I'm so tired (I'm so tired, so tired)
Tired, tired of all this drama
Of all the drama1
",2002
